[16:01:01] [INFO] received Windows console close event; shutting log-core down
[16:06:07] [INFO] received Windows console close event; shutting log-core down
[06:11:54] [INFO] received Windows console close event; shutting log-core down
[06:16:55] [INFO] received Windows console close event; shutting log-core down
[06:19:19] [INFO] received Windows console close event; shutting log-core down
[06:26:20] [INFO] received Windows console close event; shutting log-core down
[06:28:55] [INFO] received Windows console close event; shutting log-core down
[07:33:52] [INFO] received Windows console close event; shutting log-core down
[07:46:45] [INFO] received Windows console close event; shutting log-core down
[07:53:11] [INFO] received Windows console close event; shutting log-core down
[08:00:01] [INFO] received Windows console close event; shutting log-core down
[08:06:23] [INFO] received Windows console close event; shutting log-core down
[08:09:05] [INFO] received Windows console close event; shutting log-core down
[11:27:10] [INFO] received Windows console close event; shutting log-core down
[11:29:41] [INFO] received Windows console close event; shutting log-core down
[11:44:08] [INFO] received Windows console close event; shutting log-core down
[11:45:35] [INFO] received Windows console close event; shutting log-core down
[11:56:16] [INFO] received Windows console close event; shutting log-core down
[11:58:28] [INFO] received Windows console close event; shutting log-core down
[12:01:24] [INFO] received Windows console close event; shutting log-core down
[12:06:04] [INFO] received Windows console close event; shutting log-core down
[12:22:05] [INFO] received Windows console close event; shutting log-core down
[12:25:33] [INFO] received Windows console close event; shutting log-core down
[12:57:02] [INFO] received Windows console close event; shutting log-core down
[12:59:24] [INFO] received Windows console close event; shutting log-core down
[14:05:10] [INFO] received Windows console close event; shutting log-core down
[14:08:51] [INFO] received Windows console close event; shutting log-core down
[14:16:20] [INFO] received Windows console close event; shutting log-core down
[14:15:37] [INFO] received Windows console close event; shutting log-core down
[19:56:27] [INFO] received Windows console close event; shutting log-core down
[20:00:46] [INFO] received Windows console close event; shutting log-core down
[20:03:50] [INFO] received Windows console close event; shutting log-core down
[20:09:11] [INFO] received Windows console close event; shutting log-core down
[20:10:10] [INFO] received Windows console close event; shutting log-core down
[20:25:34] [INFO] received Windows console close event; shutting log-core down
[20:26:42] [INFO] received Windows console close event; shutting log-core down
[20:31:18] [INFO] received Windows console close event; shutting log-core down
[20:39:09] [INFO] received Windows console close event; shutting log-core down
[20:40:46] [INFO] received Windows console close event; shutting log-core down
[11:27:48] [INFO] received Windows console close event; shutting log-core down
[11:30:19] [INFO] received Windows console close event; shutting log-core down
[20:31:06] [INFO] received Windows console close event; shutting log-core down
[20:32:25] [INFO] received Windows console close event; shutting log-core down
[20:39:13] [INFO] received Windows console close event; shutting log-core down
[20:49:13] [INFO] received Windows console close event; shutting log-core down
[20:51:12] [INFO] received Windows console close event; shutting log-core down
[20:54:14] [INFO] received Windows console close event; shutting log-core down
[20:57:16] [INFO] received Windows console close event; shutting log-core down
[21:02:43] [INFO] received Windows console close event; shutting log-core down
[21:29:40] [INFO] received Windows console close event; shutting log-core down
[21:30:03] [INFO] received Windows console close event; shutting log-core down
[00:45:21] [INFO] received Windows console close event; shutting log-core down
[00:46:45] [INFO] received Windows console close event; shutting log-core down
[01:21:41] [INFO] received Windows console close event; shutting log-core down
[01:24:58] [INFO] received Windows console close event; shutting log-core down
[01:04:53] [INFO] received Windows console close event; shutting log-core down
[01:05:07] [INFO] received Windows console close event; shutting log-core down
[01:07:29] [INFO] received Windows console close event; shutting log-core down
[01:19:19] [INFO] received Windows console close event; shutting log-core down
[01:23:57] [INFO] received Windows console close event; shutting log-core down
[04:15:18] [INFO] received Windows console close event; shutting log-core down
[04:17:44] [INFO] received Windows console close event; shutting log-core down
[04:21:03] [INFO] received Windows console close event; shutting log-core down
[04:24:45] [INFO] received Windows console close event; shutting log-core down
[04:26:34] [INFO] received Windows console close event; shutting log-core down
[04:50:50] [INFO] received Windows console close event; shutting log-core down
[04:52:33] [INFO] received Windows console close event; shutting log-core down
[04:53:47] [INFO] received Windows console close event; shutting log-core down
[04:57:13] [INFO] received Windows console close event; shutting log-core down
[05:00:16] [INFO] received Windows console close event; shutting log-core down
[05:08:40] [INFO] received Windows console close event; shutting log-core down
[05:10:42] [INFO] received Windows console close event; shutting log-core down
[05:16:24] [INFO] received Windows console close event; shutting log-core down
[05:16:45] [INFO] received Windows console close event; shutting log-core down
[05:23:35] [INFO] received Windows console close event; shutting log-core down
[05:31:00] [INFO] received Windows console close event; shutting log-core down
[05:31:52] [INFO] received Windows console close event; shutting log-core down
[14:34:44] [INFO] received Windows console close event; shutting log-core down
[14:35:40] [INFO] received Windows console close event; shutting log-core down
[14:38:00] [INFO] received Windows console close event; shutting log-core down
[14:42:36] [INFO] received Windows console close event; shutting log-core down
[14:44:33] [INFO] received Windows console close event; shutting log-core down
[14:52:34] [INFO] received Windows console close event; shutting log-core down
[14:54:25] [INFO] received Windows console close event; shutting log-core down
[01:34:37] [INFO] received Windows console close event; shutting log-core down
[01:35:34] [INFO] received Windows console close event; shutting log-core down
[01:36:28] [INFO] received Windows console close event; shutting log-core down
[01:45:42] [INFO] received Windows console close event; shutting log-core down
[01:51:07] [INFO] received Windows console close event; shutting log-core down
[01:51:42] [INFO] received Windows console close event; shutting log-core down
[01:54:58] [INFO] received Windows console close event; shutting log-core down
[01:55:11] [INFO] received Windows console close event; shutting log-core down
[01:56:21] [INFO] received Windows console close event; shutting log-core down
[01:58:04] [INFO] received Windows console close event; shutting log-core down
[02:00:12] [INFO] received Windows console close event; shutting log-core down
[02:04:43] [INFO] received Windows console close event; shutting log-core down
[02:08:17] [INFO] received Windows console close event; shutting log-core down
[02:08:40] [INFO] received Windows console close event; shutting log-core down
[02:11:09] [INFO] received Windows console close event; shutting log-core down
[02:11:40] [INFO] received Windows console close event; shutting log-core down
[02:14:29] [INFO] received Windows console close event; shutting log-core down
[12:52:45] [INFO] received Windows console close event; shutting log-core down
[12:01:57] [INFO] received Windows console close event; shutting log-core down
[12:04:37] [INFO] received Windows console close event; shutting log-core down
[12:08:42] [INFO] received Windows console close event; shutting log-core down
[12:10:37] [INFO] received Windows console close event; shutting log-core down
[12:33:40] [INFO] received Windows console close event; shutting log-core down
[12:37:56] [INFO] received Windows console close event; shutting log-core down
[12:42:53] [INFO] received Windows console close event; shutting log-core down
[12:46:10] [INFO] received Windows console close event; shutting log-core down
[12:53:47] [INFO] received Windows console close event; shutting log-core down
[12:56:01] [INFO] received Windows console close event; shutting log-core down
[13:07:42] [INFO] received Windows console close event; shutting log-core down
[13:11:30] [INFO] received Windows console close event; shutting log-core down
[13:32:15] [INFO] received Windows console close event; shutting log-core down
[13:41:54] [INFO] received Windows console close event; shutting log-core down
[13:44:28] [INFO] received Windows console close event; shutting log-core down
[13:49:38] [INFO] received Windows console close event; shutting log-core down
[14:08:55] [INFO] received Windows console close event; shutting log-core down
[14:54:42] [INFO] received Windows console close event; shutting log-core down
[14:55:36] [INFO] received Windows console close event; shutting log-core down
[14:56:55] [INFO] received Windows console close event; shutting log-core down
[15:01:18] [INFO] received Windows console close event; shutting log-core down
[15:05:03] [INFO] received Windows console close event; shutting log-core down
[15:08:06] [INFO] received Windows console close event; shutting log-core down
[15:26:53] [INFO] received Windows console close event; shutting log-core down
[15:43:14] [INFO] received Windows console close event; shutting log-core down
[16:55:52] [INFO] received Windows console close event; shutting log-core down
[17:07:27] [INFO] received Windows console close event; shutting log-core down
[17:09:00] [INFO] received Windows console close event; shutting log-core down
[17:13:46] [INFO] received Windows console close event; shutting log-core down
[01:45:55] [INFO] received Windows console close event; shutting log-core down
[01:46:56] [INFO] received Windows console close event; shutting log-core down
[01:53:56] [INFO] received Windows console close event; shutting log-core down
[01:56:45] [INFO] received Windows console close event; shutting log-core down
[20:48:25] [INFO] received Windows console close event; shutting log-core down
[20:50:55] [INFO] received Windows console close event; shutting log-core down
[20:55:25] [INFO] received Windows console close event; shutting log-core down
[01:09:23] [INFO] received Windows console close event; shutting log-core down
[01:15:17] [INFO] received Windows console close event; shutting log-core down
[01:32:10] [INFO] received Windows console close event; shutting log-core down
[02:52:09] [INFO] received Windows console close event; shutting log-core down
[03:01:28] [INFO] received Windows console close event; shutting log-core down
[03:05:46] [INFO] received Windows console close event; shutting log-core down
[03:11:26] [INFO] received Windows console close event; shutting log-core down
[03:15:10] [INFO] received Windows console close event; shutting log-core down
[03:26:40] [INFO] received Windows console close event; shutting log-core down
[03:28:31] [INFO] received Windows console close event; shutting log-core down
[03:34:30] [INFO] received Windows console close event; shutting log-core down
[03:36:30] [INFO] received Windows console close event; shutting log-core down
[03:38:39] [INFO] received Windows console close event; shutting log-core down
[03:57:48] [INFO] received Windows console close event; shutting log-core down
